game_result,RS,RA,PA,AB,H,second_base,third_base,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batters_number,LOB,IP,Hits_allow,Runs_allow,ER,UER,BB_allow,SO_pitch,HR_allow,HBP_pitch,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB_allow,CS_pitch,AB_pitch,allow_2B,allow_3B,IBB_allow,SH_allow,SF_allow,ROE_allow,GIDP_allow,pitchers_number,game_location,rank
1,6,3,41,35,10,0,0,3,6,5,1,10,1,0,0,0,1,4,1,0.269,0.335,0.442,0.776,16,8,9.0,7,3,3,0,7,11,0,0,3.78,40,191,102,1.0,0.0,1,0,33,3,0,0,0,0,0,1,5,0,1
0,1,2,38,29,5,1,0,1,1,7,0,12,0,2,0,0,0,0,1,0.267,0.335,0.438,0.772,14,10,8.0,6,2,2,0,1,10,0,0,3.73,30,129,84,0.0,0.0,0,0,29,1,1,0,0,0,0,1,3,0,2
0,2,4,34,31,4,0,0,2,2,2,0,14,1,0,0,0,0,0,0,0.263,0.331,0.434,0.765,13,5,8.0,9,4,4,0,8,6,0,0,3.76,40,171,100,1.0,0.0,4,0,32,1,0,0,0,0,0,1,3,0,2
1,6,3,38,35,8,2,1,2,6,3,0,6,0,0,0,0,1,0,0,0.261,0.329,0.437,0.766,12,5,9.0,9,3,3,0,1,10,1,0,3.73,37,137,97,3.0,1.0,0,0,36,1,0,0,0,0,0,0,3,0,2
0,1,9,34,33,7,1,0,0,1,1,0,13,0,0,0,1,1,0,0,0.26,0.327,0.431,0.758,12,6,8.0,14,9,9,0,2,9,2,0,3.91,39,141,93,1.0,1.0,0,0,37,2,1,0,0,0,0,1,3,0,2
0,2,5,31,27,3,0,0,0,1,4,0,7,0,0,0,0,2,1,0,0.256,0.324,0.424,0.748,14,2,8.0,9,5,2,3,1,5,3,0,3.87,33,125,85,1.0,1.0,0,1,32,1,0,0,0,0,1,0,3,0,2
0,3,7,39,35,8,3,0,0,3,4,1,10,0,0,0,0,0,0,0,0.256,0.324,0.42,0.744,16,9,9.0,8,7,7,0,7,12,2,0,3.96,41,155,91,3.0,0.0,0,0,33,1,0,1,1,0,0,0,6,1,3
1,7,1,41,36,11,3,0,3,6,5,3,7,0,0,0,1,0,1,0,0.257,0.326,0.427,0.753,11,10,9.0,5,1,1,0,1,10,0,0,3.87,30,119,80,0.0,0.0,0,0,29,0,0,0,0,0,0,3,2,1,3
1,2,1,31,29,7,4,0,0,2,1,0,6,0,1,0,0,1,0,0,0.257,0.325,0.426,0.75,11,5,9.0,1,1,1,0,2,12,1,0,3.79,28,128,85,0.0,0.0,0,2,26,0,0,0,0,0,0,0,2,1,3
1,11,4,43,39,16,2,1,2,11,3,0,11,1,0,0,0,0,1,1,0.261,0.329,0.433,0.762,16,8,9.0,6,4,4,0,2,6,1,1,3.8,36,127,77,0.0,0.0,0,0,33,1,0,0,0,0,0,0,4,1,3
0,3,4,37,34,8,1,0,3,3,3,0,6,0,0,0,0,0,0,0,0.261,0.328,0.436,0.764,16,7,9.0,9,4,3,1,3,7,0,0,3.78,39,142,87,0.0,0.0,1,0,35,3,0,2,1,0,1,1,4,1,3
0,4,6,49,42,14,2,0,2,4,6,1,9,1,0,0,0,2,1,0,0.263,0.331,0.438,0.77,20,15,10.0,9,6,6,0,6,9,3,1,3.82,46,191,114,0.0,0.0,1,1,38,0,0,0,1,0,1,1,6,1,3
1,7,3,39,36,13,3,0,4,7,3,1,8,0,0,0,0,0,0,0,0.266,0.333,0.447,0.781,14,8,9.0,4,3,3,0,5,12,1,0,3.8,37,136,89,1.0,0.0,0,0,31,1,0,1,1,0,1,0,4,1,3
1,5,4,34,30,7,2,0,1,4,4,2,8,0,0,0,0,0,3,0,0.265,0.333,0.446,0.779,14,5,9.0,5,4,4,0,3,12,2,0,3.81,35,144,95,0.0,0.0,0,0,32,1,0,0,0,0,0,0,4,1,2
1,5,4,43,38,8,3,1,2,5,5,0,9,0,0,0,0,0,0,0,0.263,0.332,0.448,0.78,17,8,11.0,11,4,4,0,4,10,2,0,3.79,46,186,115,1.0,0.0,1,0,42,2,0,0,0,0,0,1,6,1,2
1,10,1,49,42,16,3,0,4,10,7,0,11,0,0,0,0,0,2,0,0.267,0.336,0.456,0.792,13,12,9.0,4,1,1,0,4,6,0,0,3.73,34,134,84,0.0,0.0,0,0,30,0,0,0,0,0,0,1,2,0,2
1,9,1,45,40,14,3,0,1,8,4,0,7,1,0,0,0,1,0,0,0.269,0.339,0.457,0.796,14,9,9.0,4,1,1,0,5,8,0,1,3.66,37,146,83,2.0,0.0,0,0,31,0,0,0,0,0,0,0,3,0,2
0,1,5,32,32,5,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0.267,0.335,0.453,0.788,11,4,8.0,9,5,3,2,2,2,1,1,3.66,34,117,75,0.0,0.0,0,0,30,2,0,0,0,1,1,1,2,0,2
1,5,1,33,30,7,0,1,2,4,3,0,4,0,0,0,1,2,0,1,0.266,0.335,0.454,0.788,10,4,9.0,4,1,1,0,1,12,1,0,3.6,31,105,74,1.0,0.0,0,0,30,1,0,0,0,0,0,1,2,1,2
1,5,4,31,31,9,1,1,2,5,0,0,6,0,0,0,0,1,1,0,0.266,0.334,0.456,0.79,15,2,9.0,10,4,4,0,3,7,3,0,3.61,39,135,87,4.0,0.0,0,0,36,1,0,1,0,0,0,1,5,1,2
1,8,6,34,31,10,3,0,1,8,1,0,11,1,0,1,0,0,1,0,0.268,0.334,0.457,0.791,17,2,9.0,11,6,5,1,3,10,2,0,3.64,39,174,104,1.0,1.0,0,0,36,1,0,0,0,0,0,2,6,1,2
1,4,0,36,34,9,2,0,2,3,2,0,8,0,0,0,1,2,1,0,0.267,0.334,0.458,0.792,12,5,9.0,3,0,0,0,0,10,0,1,3.56,30,125,87,0.0,0.0,0,1,29,1,0,0,0,0,0,0,3,0,2
1,4,2,42,38,7,3,0,2,3,4,1,7,0,0,0,2,1,0,0,0.266,0.332,0.457,0.789,16,8,10.0,8,2,2,0,5,9,1,0,3.52,40,149,94,0.0,0.0,0,0,35,0,0,1,0,0,1,2,5,0,2
0,1,6,32,28,3,0,0,0,1,4,0,12,0,0,0,0,2,0,0,0.263,0.33,0.452,0.782,12,4,8.0,7,6,6,0,2,9,1,0,3.58,32,135,89,1.0,0.0,0,0,30,2,0,0,0,0,0,0,3,0,2
0,5,9,39,36,11,4,0,0,5,2,0,11,0,0,1,0,1,0,0,0.264,0.33,0.451,0.781,12,7,8.0,15,9,8,1,3,8,1,0,3.67,42,149,97,2.0,1.0,0,0,39,3,1,0,0,0,0,0,3,0,3
0,3,4,37,33,7,1,0,1,3,1,0,6,2,1,0,0,0,0,0,0.263,0.329,0.449,0.778,18,7,8.0,9,4,4,0,2,9,1,0,3.69,33,150,93,3.0,1.0,1,2,30,1,2,0,0,1,0,0,6,0,3
1,3,0,34,32,7,3,0,0,3,1,0,5,0,1,0,0,1,0,0,0.262,0.328,0.446,0.774,10,4,9.0,4,0,0,0,0,10,0,0,3.62,30,115,76,,,0,0,30,1,0,0,0,0,0,1,1,0,3
1,6,5,61,54,14,5,1,2,6,6,1,14,0,1,0,0,1,0,0,0.262,0.328,0.448,0.776,18,13,14.0,10,5,4,1,5,13,1,0,3.59,55,197,126,0.0,0.0,0,0,49,3,0,2,1,0,1,3,6,0,2
1,3,2,36,32,6,0,1,0,3,3,1,12,0,1,0,0,0,1,0,0.261,0.327,0.445,0.772,16,6,9.0,5,2,1,1,3,12,0,0,3.54,34,126,83,1.0,0.0,2,0,31,1,0,0,0,0,0,1,4,0,1
0,5,7,36,35,9,1,0,2,5,1,0,4,0,0,0,0,1,0,0,0.261,0.326,0.445,0.771,13,4,8.0,11,7,6,1,2,7,3,0,3.59,37,147,90,5.0,1.0,0,0,35,2,0,0,0,0,1,1,4,0,2
0,0,3,27,25,0,0,0,0,0,2,0,10,0,0,0,0,2,0,0,0.258,0.323,0.439,0.762,13,0,8.0,9,3,3,0,4,8,0,0,3.59,36,140,91,1.0,0.0,2,0,32,1,0,2,0,0,1,2,3,0,3
0,5,6,40,35,8,5,0,0,5,5,1,12,0,0,0,1,0,0,1,0.257,0.323,0.438,0.761,13,8,8.0,12,6,5,1,4,5,1,0,3.62,41,165,104,2.0,1.0,1,0,34,3,0,0,0,2,1,1,4,0,3
1,10,2,39,32,7,3,0,1,9,6,0,13,1,0,0,1,0,1,0,0.257,0.324,0.438,0.761,12,5,9.0,5,2,2,0,3,13,2,0,3.59,35,141,84,1.0,0.0,0,0,32,2,0,0,0,0,0,0,2,1,2
1,7,4,38,28,7,0,0,2,6,8,0,8,0,1,1,0,1,3,0,0.256,0.325,0.438,0.763,16,7,9.0,11,4,4,0,2,12,1,0,3.6,40,179,110,2.0,0.0,1,0,38,1,1,0,0,0,0,0,6,1,2
1,15,3,43,37,15,6,0,2,15,5,0,9,1,0,0,0,1,0,1,0.259,0.328,0.443,0.771,15,4,9.0,9,3,3,0,3,12,0,0,3.59,39,132,88,1.0,0.0,1,0,36,2,0,0,0,0,1,0,4,1,2
0,6,8,41,35,8,2,1,1,6,4,0,8,1,0,1,1,0,0,0,0.259,0.328,0.443,0.771,16,8,9.0,14,8,7,1,5,10,1,0,3.64,46,170,105,2.0,2.0,2,0,37,6,0,2,3,1,0,0,5,1,3
1,3,2,35,29,6,1,1,1,3,6,1,6,0,0,0,0,1,0,0,0.258,0.328,0.442,0.77,13,8,9.0,2,2,2,0,2,6,1,1,3.62,31,109,74,0.0,0.0,0,1,27,0,0,0,1,0,0,0,4,1,3
1,11,1,40,36,13,3,0,4,11,4,0,12,0,0,0,0,0,2,1,0.26,0.33,0.448,0.777,15,5,9.0,4,1,1,0,5,13,1,0,3.58,36,139,94,5.0,0.0,3,0,30,1,0,0,1,0,0,0,5,1,3
1,7,6,42,39,16,4,0,3,7,3,0,7,0,0,0,0,3,1,1,0.262,0.332,0.453,0.785,10,8,9.0,9,6,0,6,3,6,1,0,3.52,39,155,94,2.0,1.0,0,1,36,2,0,0,0,0,1,0,6,0,3
1,2,1,31,29,6,1,0,0,2,1,0,7,0,0,1,0,2,0,0,0.261,0.33,0.45,0.781,10,2,9.0,7,1,1,0,1,11,0,0,3.49,35,133,93,0.0,0.0,0,0,34,2,0,0,0,0,0,0,3,0,3
1,5,4,41,37,12,0,1,1,5,3,0,8,0,0,1,1,1,0,1,0.262,0.331,0.45,0.781,14,9,9.0,5,4,2,2,2,9,1,0,3.46,35,124,81,2.0,0.0,1,0,32,1,1,0,1,0,1,0,4,0,2
